StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CSMOKING_AdjPrev,DIABETES_AdjPrev,STROKE_AdjPrev
AK,Anchorage,203000,291826,12.6,29.2,6.1,9.1,22.6,16.7,5
AL,Birmingham,107000,212237,19.5,44.1,5.7,10.5,13.9,8,2.2
AL,Hoover,135896,81619,10.6,29.7,6.4,7.9,18.9,11.9,3.3
AL,Huntsville,137000,180105,15.4,36.3,6.2,9.5,20.7,14.5,4.2
AL,Mobile,150000,195111,17.4,41,6,9.9,21.1,13.9,4.2
AL,Montgomery,151000,205764,18,40.8,6,10.3,22.1,13.9,4.1
AL,Tuscaloosa,177256,90468,16.8,41.3,6.1,9.7,17.2,8.4,2.6
AR,Fayetteville,523290,73580,9.9,32.6,6.7,8.8,17,11.2,3.2
AR,Fort Smith,524550,86209,16.2,37.3,6.3,10.2,14.1,8,2.4
AR,Jonesboro,535710,67263,11.6,35.7,6.6,9.3,13.6,7.3,2.2
AR,Little Rock,541000,193524,12,37.4,6.3,9.3,18.6,10.5,3.4
AR,Springdale,566080,69797,18.8,34.8,6.3,9.4,17.8,9.2,3
AZ,Avondale,404720,76238,18.8,30,5.6,9.9,15.9,8.1,2.6
AZ,Chandler,412000,236123,11,26.1,6.2,9.3,18,10.6,3.3
AZ,Gilbert,427400,208453,8.9,25.2,6.3,9.1,12.6,6.7,2.1
AZ,Glendale,427820,226721,17.7,29.6,6,10.3,16.4,8.2,2.6
AZ,Mesa,446000,439041,14.7,28.4,6.3,10.1,15.7,8.8,2.8
AZ,Peoria,454050,154065,11.5,26.6,6.3,9.7,19.1,10.5,3.3
AZ,Phoenix,455000,1445632,18.9,29.7,6,10.2,18,11.8,3.3
AZ,Scottsdale,465000,217385,8.1,24.6,6.5,9.1,20.3,9.4,3
AZ,Surprise,471510,117517,12.1,27,6.3,9.7,25.7,12.4,3.9
AZ,Tempe,473000,161719,12,27.7,6.2,9.6,21.9,10.4,3.3
AZ,Tucson,477000,520116,18.1,27.9,5.9,10.8,19.7,11.4,3.4
AZ,Yuma,485540,93064,21.6,31.2,5.6,9.9,23.9,11.5,3.5
CA,Alameda,600562,73812,7.7,23.8,5.6,8.3,11.8,7.9,2.1
CA,Alhambra,600884,83089,13.4,26.4,4.6,6.8,11.2,10.8,2.3
CA,Anaheim,602000,336265,16.9,27.2,5.3,8.4,13.9,10.9,2.8
CA,Antioch,602252,102372,12.8,28.5,5.7,9.2,15.3,10.2,2.9
CA,Apple Valley,602364,69135,13.6,30.8,5.9,10.1,17.6,10.4,3.3
CA,Bakersfield,603526,347483,16.3,27.6,5.7,9.4,16.8,10.8,3.3
CA,Baldwin Park,603666,75390,22.5,28.6,4.6,7.8,13.2,12.4,2.9
CA,Bellflower,604982,76616,16.7,29.3,5.3,8.5,14,11.1,3
CA,Berkeley,606000,112580,7.1,24.5,6,8.7,11.4,7.7,2.3
