StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CANCER_CrudePrev
AL,Birmingham,107000,212237,19.5,44.1,5.7,10.5,5.6
AL,Hoover,135896,81619,10.6,29.7,6.4,7.9,6.6
AL,Huntsville,137000,180105,15.4,36.3,6.2,9.5,6.4
AL,Mobile,150000,195111,17.4,41,6,9.9,6.3
AL,Montgomery,151000,205764,18,40.8,6,10.3,5.9
AL,Tuscaloosa,177256,90468,16.8,41.3,6.1,9.7,4.6
AK,Anchorage,203000,291826,12.6,29.2,6.1,9.1,5.1
AZ,Avondale,404720,76238,18.8,30,5.6,9.9,4.1
AZ,Chandler,412000,236123,11,26.1,6.2,9.3,5.3
AZ,Gilbert,427400,208453,8.9,25.2,6.3,9.1,5
AZ,Glendale,427820,226721,17.7,29.6,6,10.3,5.5
AZ,Mesa,446000,439041,14.7,28.4,6.3,10.1,6.7
AZ,Peoria,454050,154065,11.5,26.6,6.3,9.7,7
AZ,Phoenix,455000,1445632,18.9,29.7,6,10.2,5.2
AZ,Scottsdale,465000,217385,8.1,24.6,6.5,9.1,8.2
AZ,Surprise,471510,117517,12.1,27,6.3,9.7,7.7
AZ,Tempe,473000,161719,12,27.7,6.2,9.6,4.5
AZ,Tucson,477000,520116,18.1,27.9,5.9,10.8,5.7
AZ,Yuma,485540,93064,21.6,31.2,5.6,9.9,5.6
AR,Fayetteville,523290,73580,9.9,32.6,6.7,8.8,4.6
AR,Fort Smith,524550,86209,16.2,37.3,6.3,10.2,6.5
AR,Jonesboro,535710,67263,11.6,35.7,6.6,9.3,6.2
AR,Little Rock,541000,193524,12,37.4,6.3,9.3,6.1
AR,Springdale,566080,69797,18.8,34.8,6.3,9.4,5.5
CA,Alameda,600562,73812,7.7,23.8,5.6,8.3,6.1
CA,Alhambra,600884,83089,13.4,26.4,4.6,6.8,4.8
CA,Anaheim,602000,336265,16.9,27.2,5.3,8.4,4.7
CA,Antioch,602252,102372,12.8,28.5,5.7,9.2,5.2
CA,Apple Valley,602364,69135,13.6,30.8,5.9,10.1,6.8
CA,Bakersfield,603526,347483,16.3,27.6,5.7,9.4,5
CA,Baldwin Park,603666,75390,22.5,28.6,4.6,7.8,3.9
CA,Bellflower,604982,76616,16.7,29.3,5.3,8.5,4.6
CA,Berkeley,606000,112580,7.1,24.5,6,8.7,4.9
